code_station,libelle_station,code_departement,libelle_departement,code_commune,libelle_commune,code_region,libelle_region,code_bassin,libelle_bassin,code_cours_eau,libelle_cours_eau,code_campagne,code_reseau,libelle_reseau,code_ecoulement,libelle_ecoulement,longitude,latitude,date_campagne,nombre_modalite_ecoulement,code_type_campagne,libelle_type_campagne,uri_reseau,Annee
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,97160,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2023-04-21,5,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2023
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,97111,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2023-03-24,5,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2023
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,97007,0000000134,Onde OFB,2,Ecoulement non visible,1.74973483,49.691282833,2022-11-29,5,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,96940,0000000134,Onde OFB,1f,Ecoulement visible faible,1.74973483,49.691282833,2022-10-23,5,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,96763,0000000134,Onde OFB,2,Ecoulement non visible,1.74973483,49.691282833,2022-09-23,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,96657,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2022-08-23,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,96440,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2022-07-24,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,96340,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2022-06-26,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,96203,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2022-05-23,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,96102,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2022-04-28,5,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,95947,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2021-09-23,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2021
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,95805,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2021-08-23,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2021
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,95704,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2021-07-23,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2021
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,95546,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2021-06-24,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2021
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,95470,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2021-05-26,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2021
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,95145,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2020-09-24,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2020
G0100001,Bresles à Criquiers,76,Seine-Maritime,76199,CRIQUIERS,28,Normandie,03,Seine-Normandie,G01-0400,La Bresle,94977,0000000134,Onde OFB,1a,Ecoulement visible acceptable,1.74973483,49.691282833,2020-08-25,5,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2020
